idx,name,category,type,confidence,description,properties
0,Week 1,Concept,Time_Component,1.0,,{}
1,22-9-2025,Concept,Time_Component,1.0,,{}
2,29-09-2025,Concept,Time_Component,1.0,,{}
3,This week,Event,Period,1.0,,{}
4,the project,Artifact,Concept,1.0,A visual analytics tool or system,{}
5,start of the project,Event,Development,1.0,,{}
6,basis to get to know what the project is going to be.,Concept,Agenda,1.0,,{}
7,instructions,Artifact,Documentation,0.9,,{}
8,documentation,Artifact,Documentation,0.8,,{}
9,week,Concept,Time_Component,0.7,,{}
10,pretend,Concept,Assumption,0.8,,{}
11,achieve,Concept,Expectation,0.7,,{}
12,scope,Concept,Scope,0.9,,{}
13,research questions,Concept,Problem,0.6,,{}
14,the visualization that Im building,Artifact,Software,0.95,,{}
15,Knowledge Graph,Artifact,Data_Model,1.0,,{}
16,Visualization Colaboration,Event,Development,1.0,,{}
17,Vamsi,Person,Computer_Expert,1.0,,{}
18,Kirill Makienko,Person,Computer_Expert,0.8,,{}
19,Dr. Ashish Sharma,Person,Domain_Expert,0.9,,{}
20,hazardous weather,Concept,Weather_Event,0.9,,{}
21,driver passes,Concept,Location,0.8,,{}
22,at the same time,Concept,Time_Component,0.7,,{}
23,simulation to calculate whether at any point for any given route hazardous weather is going to exist at the same time as a driver passes,Concept,Simulation,0.6,,{}
24,algorithm,Artifact,Algorithm,1.0,,{}
25,domain experts,Person,Stakeholder,1.0,,{}
26,documentation,Artifact,Documentation,1.0,,{}
27,research questions,Concept,Problem,1.0,,{}
28,documents,Artifact,Report,0.8,,{}
29,corrections,Concept,Problem,0.7,,{}
30,project definition template,Artifact,Proposal,0.9,,{}
31,task abstraction template,Artifact,Documentation,0.8,,{}
32,next week,Concept,Timeline,0.7,,{}
33,Domain_Expert,Person,Domain_Expert,0.95,,{}
34,Meeting,Event,Offline_Meeting,0.88,,{}
35,Domain_Expert,Person,Domain_Expert,0.95,,{}
36,Problem,Concept,Problem,0.93,,{}
37,Presentation,Artifact,Presentation,0.9,"A structured display of information, often using slides, to communicate findings and insights from the design study.",{}
38,Slide,Artifact,Report,0.8,"A document summarizing findings, methodologies, and conclusions from the design study.",{}
39,Executive Slide,Artifact,Report,0.9,"A document summarizing findings, methodologies, and conclusions from the design study.",{}
40,Domain Expert,Person,Stakeholder,0.9,A person or organization with an interest or concern in the design study.,{}
41,Mr,Person,Domain_Expert,0.8,A person with expertise in the domain of interest for the design study.,{}
42,Approach,Concept,Design_Concept,0.8,An idea or principle related to the design and development of visual analytics tools and systems.,{}
43,Timeframe,Concept,Time_Component,0.9,An element related to the measurement or consideration of time within the design study.,{}
44,15 minutes,Concept,Time_Component,0.9,An element related to the measurement or consideration of time within the design study.,{}
45,Domain Experts,Person,Domain_Expert,0.9,,{}
46,the first meeting we had,Event,Offline_Meeting,0.8,approximation based on context,{}
47,30 minutes,Concept,Time_Component,0.7,,{}
48,Project Proposal,Artifact,Proposal,1.0,,{}
49,Tasks to be done for the project,Concept,Task,0.8,Identified activities or objectives in the design study.,{}
50,domain experts,Person,Domain_Expert,1.0,,{}
51,data modelling,Concept,Design_Concept,1.0,A process for creating a conceptual representation of data.,{}
52,meeting,Event,Offline_Meeting,0.9,,{}
53,project,Concept,Design_Concept,1.0,"A plan or idea for a product, service, or process.",{}
54,frontend,Artifact,Tool,0.9,,{}
55,project timeline,Concept,Timeline,0.8,,{}
